Begrotingsjaar,Begrotings hoofdstuk,Verantwoordelijke minister,Naam Begroting,"Type Begroting (zie rbv voor definitie, K voor de Koning, KB voor I t/m IV, B voor begroting, F voor Fonds)","Begrotingsfase OWB=ontwerpbegroting/VB=vastgestelde begroting,1stesup stand, 2de sup stand, JV jaarverslag stand, SW slotwet stand)",Artikel nummer zoals in het witte stuk,% Juridisch verplicht,Omschrijving artikel,Type Artikel,Indicatie grote uitvoerende dienst op artikel. Zie rbv voor definitie,Programma of Apparaat,V/U/O (Verplichtingen/Uitgaven/Ontvangsten),Indicatie totaal regel J/N,Nr. onderverdeling zoals in de witte stukken,Beleidsmatige clustering,Financieel instrument/Apparaat,"Uitsplitsing fin.instrument cq apparaat zoals in b-tabel staat opm: vul de uitsplitsing aan met een regel overig fin.instrument, zie rbv 1.33d toelichting regel 4. Dit geldt ook voor apparaat",Nadere omschrijving zoals in b-tabel staat,Bedrag t-2,Bedrag t-1,Bedrag t,Bedrag t+1,Bedrag t+2,Bedrag t+3,Bedrag t+4,,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,1,,Wetgeving en controle Eerste Kamer,beleidsartikel,N,Apparaat,U,N,1,Apparaat Eerste Kamer,,,,"6,528","8,241",9477,"8,124","8,133","8,134","8,136",,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,1,,Wetgeving en controle Eerste Kamer,beleidsartikel,N,Programma,U,N,2,Vergoeding voorzitter/leden Eerste Kamer,,,,"3,346","3,512",3511,"3,511","3,510","3,510","3,510",,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,1,,Wetgeving en controle Eerste Kamer,beleidsartikel,N,Programma,U,N,3,Verenigde vergadering,,,,64,673,73,73,73,73,73,,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,2,,Uitgaven tbv van (oud) leden Tweede Kamer en leden Europees Parlement,beleidsartikel,N,Programma,U,N,1,Schadeloosstelling,,,,"18,801","19,563",19561,"19,558","19,557","19,557","19,557",,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,2,,Uitgaven tbv van (oud) leden Tweede Kamer en leden Europees Parlement,beleidsartikel,N,Programma,U,N,2,Pensioenen en wachtgelden,,,,"8,859","9,735",9735,"11,243","10,237","9,734","9,734",,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,2,,Uitgaven tbv van (oud) leden Tweede Kamer en leden Europees Parlement,beleidsartikel,N,Programma,U,N,3,Schadeloosstelling Europarlementariers incl tegemoetkoming ziektekosten,,,,144,100,100,100,100,100,100,,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,3,,Wetgeving/controle Tweede Kamer,beleidsartikel,N,Apparaat,U,N,1,Apparaat Tweede Kamer,,,,"61,759","70,358",67858,"65,177","64,970","64,970","64,974",,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,3,,Wetgeving/controle Tweede Kamer,beleidsartikel,N,Programma,U,N,2,Onderzoeksbudget,,,,719,"2,499",2174,"2,150","2,142","2,142","2,142",,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,3,,Wetgeving/controle Tweede Kamer,beleidsartikel,N,Programma,U,N,3,Drukwerk,,,,"1,768","1,807",1789,"1,771","1,766","1,766","1,766",,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,3,,Wetgeving/controle Tweede Kamer,beleidsartikel,N,Programma,U,N,4,Fractiekosten,,,,"25,730","23,776",23248,"26,023","23,926","22,918","22,918",,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,3,,Wetgeving/controle Tweede Kamer,beleidsartikel,N,Programma,U,N,5,Uitzending leden,,,,333,436,432,427,426,426,426,,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,3,,Wetgeving/controle Tweede Kamer,beleidsartikel,N,Programma,U,N,6,Parlementaire enquetes,,,,"2,215","1,450",0,0,0,0,0,,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,3,,Wetgeving/controle Tweede Kamer,beleidsartikel,N,Programma,U,N,7,Bijdrage ProDemos,,,,0,"1,614",1920,"1,901","1,894","1,894","1,894",,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,4,,Wetgeving/controle Eerste en Tweede Kamer,beleidsartikel,N,Programma,U,N,3,Interparlementaire betrekkingen,,,,"1,799","1,497",1482,"1,468","1,463","1,463","1,463",,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,10,,Nominaal en onvoorzien,Niet beleidsartikel,N,Niet toegedeeld,U,N,1,Loonbijstelling,,,,0,0,0,0,0,0,0,,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,10,,Nominaal en onvoorzien,Niet beleidsartikel,N,Niet toegedeeld,U,N,2,Prijsbijsltelling,,,,0,0,0,0,0,0,0,,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,10,,Nominaal en onvoorzien,Niet beleidsartikel,N,Niet toegedeeld,U,N,3,Onvoorzien,,,,0,"-1,573",-1781,"-1,912","-1,957","-1,957","-1,957",,
2016,IIB,R.H.A. Plasterk,Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs,KB,OWB,1,,Raad van State,beleidsartikel,N,Apparaat,U,N,1,Advisering,,,,0,0,6819,"6,919","6,905","6,903","6,903",,
2016,IIB,R.H.A. Plasterk,Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs,KB,OWB,1,,Raad van State,beleidsartikel,N,Apparaat,U,N,2,Bestuursrechtspraak,,,,0,0,47212,"45,593","45,494","45,487","45,605",,
2016,IIB,R.H.A. Plasterk,Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs,KB,OWB,1,,Raad van State,beleidsartikel,N,Apparaat,U,N,3,Raad van State,,,,"58,521","58,276",0,0,0,0,0,,
2016,IIB,R.H.A. Plasterk,Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs,KB,OWB,2,,Algemene Rekenkamer,beleidsartikel,N,Apparaat,U,N,1,Recht- en doelmatigheidsbevordering,,,,"30,028","28,851",28204,"27,346","27,183","27,190","27,232",,
2016,IIB,R.H.A. Plasterk,Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs,KB,OWB,3,,De Nationale ombudsman,beleidsartikel,N,Apparaat,U,N,1,Reguliere klachten,,,,"13,982","13,486",13031,"12,735","12,665","12,668","12,678",,
2016,IIB,R.H.A. Plasterk,Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs,KB,OWB,3,,De Nationale ombudsman,beleidsartikel,N,Apparaat,U,N,2,Klachten van lagere overheden,,,,"2,379","2,173",2173,"2,173","2,173","2,173","2,173",,
2016,IIB,R.H.A. Plasterk,Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs,KB,OWB,4,,Kanselarij Nederlandse Orden,beleidsartikel,N,Apparaat,U,N,1,Apparaat,,,,"2,462","3,216",3811,"2,973","2,266","2,266","2,267",,
2016,IIB,R.H.A. Plasterk,Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs,KB,OWB,4,,Kanselarij Nederlandse Orden,beleidsartikel,N,Programma,U,N,2,Decoraties,,,,"1,120","1,606",1605,"1,605","1,605","1,605","1,605",,
2016,IIB,R.H.A. Plasterk,Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs,KB,OWB,4,,Kanselarij Nederlandse Orden,beleidsartikel,N,Programma,U,N,3,Riddertoelagen,,,,1,5,5,5,5,5,5,,
2016,IIB,R.H.A. Plasterk,Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs,KB,OWB,6,,Kabinet Gouverneur Aruba,beleidsartikel,N,Apparaat,U,N,1,Apparaat,,,,"1,759","1,819",1776,"1,740","1,730","1,730","1,730",,
2016,IIB,R.H.A. Plasterk,Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs,KB,OWB,7,,Kabinet Gouverneur Curacao,beleidsartikel,N,Apparaat,U,N,1,Kabinet Gouverneur Curacao,,,,"3,062","2,773",2708,"2,654","2,638","2,638","2,638",,
2016,IIB,R.H.A. Plasterk,Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs,KB,OWB,7,,Kabinet Gouverneur Curacao,beleidsartikel,N,Apparaat,O,N,,,,,,51,200,200,200,200,200,200,,
2016,IIB,R.H.A. Plasterk,Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs,KB,OWB,8,,Kabinet Gouverneur St. Maarten,beleidsartikel,N,Apparaat,U,N,1,Kabinet Gouverneur St. Maarten,,,,"2,831","2,085",1958,"1,906","1,894","1,894","1,894",,
2016,IIB,R.H.A. Plasterk,Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs,KB,OWB,8,,Kabinet Gouverneur St. Maarten,beleidsartikel,N,Apparaat,O,N,,,,,,80,50,50,50,50,50,50,,
2016,IIIA,M. Rutte,Algemene Zaken,KB,OWB,1,,Eenheid van het algemeen regeringsbeleid,beleidsartikel,N,Apparaat,U,N,,,,Coördinatie van het algemeen communicatie- en regeringsbeleid,,"1,668","4,913",4934,"4,935","4,951","4,951","4,957",,
2016,IIIA,M. Rutte,Algemene Zaken,KB,OWB,1,,Eenheid van het algemeen regeringsbeleid,beleidsartikel,N,Programma,U,N,,,,Bijdrage aan de lange termijn beleidsontwikkeling,,451,689,594,594,594,594,594,,
2016,IIIA,M. Rutte,Algemene Zaken,KB,OWB,1,,Eenheid van het algemeen regeringsbeleid,beleidsartikel,N,Apparaat,U,N,,,,Apparaat,,"31,084","32,900",31641,"31,298","29,994","30,003","30,005",,
2016,IIIA,M. Rutte,Algemene Zaken,KB,OWB,1,,Eenheid van het algemeen regeringsbeleid,beleidsartikel,N,Programma,U,N,,,bijdrage aan agentschappen,Dienst Publiek en Communicatie,,"22,943","22,599",22071,"21,998","21,998","21,998","21,998",,
2016,IIIA,M. Rutte,Algemene Zaken,KB,OWB,1,,Eenheid van het algemeen regeringsbeleid,beleidsartikel,N,Programma,O,N,,,,,,"4,017","4,726",4425,"4,425","4,425","4,425","4,425",,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,1,,Waarborgfunctie,Beleidsartikel,N,Programma,U,N,1,Rechtshandhaving en deugdelijkheid van bestuur,Bijdragen aan andere begrotingshoofdstukken,Duradero,,0,769,769,0,0,0,0,,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,1,,Waarborgfunctie,Beleidsartikel,N,Programma,U,N,1,Rechtshandhaving en deugdelijkheid van bestuur,Bijdragen aan andere begrotingshoofdstukken,Grensbewaking,,"6,100","6,100",6100,"6,100","6,100","6,100","6,100",,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,1,,Waarborgfunctie,Beleidsartikel,N,Programma,U,N,1,Rechtshandhaving en deugdelijkheid van bestuur,Bijdragen aan andere begrotingshoofdstukken,Kustwacht,,"35,380","35,402",39502,"39,558","35,402","35,402","35,402",,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,1,,Waarborgfunctie,Beleidsartikel,N,Programma,U,N,1,Rechtshandhaving en deugdelijkheid van bestuur,Bijdragen aan andere begrotingshoofdstukken,Recherchecapaciteit,,"17,226","16,968",20568,"20,468","15,968","15,968","15,968",,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,1,,Waarborgfunctie,Beleidsartikel,N,Programma,U,N,1,Rechtshandhaving en deugdelijkheid van bestuur,Bijdragen aan andere begrotingshoofdstukken,Rechterlijke macht,,"3,161","3,314",3313,"4,082","4,082","4,082","4,082",,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,2,,Bevorderen autonomie Koninkrijkspartners,Beleidsartikel,N,Apparaat,U,N,1,Apparaat,Personele uitgaven,Eigen personeel,,"7,291","8,899",0,0,0,0,0,,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,2,,Bevorderen autonomie Koninkrijkspartners,Beleidsartikel,N,Apparaat,U,N,1,Apparaat,Personele uitgaven,Externe inhuur,,61,171,0,0,0,0,0,,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,2,,Bevorderen autonomie Koninkrijkspartners,Beleidsartikel,N,Apparaat,U,N,1,Apparaat,Personele uitgaven,Overig personeel,,300,325,0,0,0,0,0,,
2016,IV,R.H.A. Plasterk,Koninkrijksrelaties,KB,OWB,2,,Bevorderen autonomie Koninkrijkspartners,Beleidsartikel,N,Apparaat,U,N,1,Apparaat,Materiële uitgaven,Overig materieel,,"1,971","3,754",0,0,0,0,0,,
