Begrotingsjaar,Uitgaven (U) Verplichtingen (V) Ontvangsten (O),Begrotingsstaat,Begrotingsstaat omschrijving,Onderdeel,Omschrijving,ontwerpbegroting,vastgestelde begroting,1ste suppletoire begroting,2de suppletoire begroting,Realisatie
2013,U,C,Provinciefonds,1,Provinciefonds,1138214,1138214,1527892,1553059,1553052
2013,V,C,Provinciefonds,1,Provinciefonds,1138214,1138214,1527568,1552735,1552656
2013,O,F,Diergezondheidsfonds,1,Bewaking en bestrijding van dierziekten,9700,9700,14336,17553,20541
2013,U,F,Diergezondheidsfonds,1,Bewaking en bestrijding van dierziekten,9700,9700,14336,17553,20541
2013,V,F,Diergezondheidsfonds,1,Bewaking en bestrijding van dierziekten,9700,9700,14336,17553,20541
2013,O,H,BES-fonds,1,BES-fonds,0,0,0,0,0
2013,U,H,BES-fonds,1,BES-fonds,32093,32093,34012,34081,35688
2013,V,H,BES-fonds,1,BES-fonds,32093,32093,34012,34081,35688
2013,O,I,De Koning,1,UITKERING LEDEN KONINKLIJK HUIS,0,0,0,0,0
2013,U,I,De Koning,1,UITKERING LEDEN KONINKLIJK HUIS,7277,7277,7457,7457,7463
2013,V,I,De Koning,1,UITKERING LEDEN KONINKLIJK HUIS,7277,7277,7457,7457,7463
2013,O,I,De Koning,2,Functionele uitgaven van de Koning,0,0,293,293,293
2013,U,I,De Koning,2,Functionele uitgaven van de Koning,26995,26995,27025,27025,27025
2013,V,I,De Koning,2,Functionele uitgaven van de Koning,26995,26995,27025,27025,27025
2013,O,I,De Koning,3,Doorbelaste uitgaven van andere begrotingen,0,0,125,125,125
2013,U,I,De Koning,3,Doorbelaste uitgaven van andere begrotingen,5661,5661,5673,5894,6118
2013,V,I,De Koning,3,Doorbelaste uitgaven van andere begrotingen,5661,5661,5673,5894,6118
2013,O,IIA,De Staten Generaal,1,Wetgeving en controle Eerste Kamer,79,79,79,90,204
2013,U,IIA,De Staten Generaal,1,Wetgeving en controle Eerste Kamer,11434,11434,11542,13481,11807
2013,V,IIA,De Staten Generaal,1,Wetgeving en controle Eerste Kamer,11434,11434,11542,13481,11844
2013,O,IIA,De Staten Generaal,2,Uitgaven tbv van (oud) leden Tweede Kamer en leden EP,86,86,86,86,86
2013,U,IIA,De Staten Generaal,2,Uitgaven tbv van (oud) leden Tweede Kamer en leden EP,31915,31915,31915,32210,29890
2013,V,IIA,De Staten Generaal,2,Uitgaven tbv van (oud) leden Tweede Kamer en leden EP,31915,31915,31915,32210,29890
2013,O,IIA,De Staten Generaal,3,Wetgeving en controle Tweede Kamer,2766,2766,4966,4966,4766
2013,U,IIA,De Staten Generaal,3,Wetgeving en controle Tweede Kamer,93784,93784,94908,94923,95429
2013,V,IIA,De Staten Generaal,3,Wetgeving en controle Tweede Kamer,93784,93784,94908,94923,97690
2013,O,IIA,De Staten Generaal,4,Wetgeving en controle Eerste en Tweede Kamer,23,23,23,23,0
2013,U,IIA,De Staten Generaal,4,Wetgeving en controle Eerste en Tweede Kamer,1561,1561,1515,1529,1384
2013,V,IIA,De Staten Generaal,4,Wetgeving en controle Eerste en Tweede Kamer,1561,1561,1515,1529,1285
2013,O,IIA,De Staten Generaal,10,Nominaal en onvoorzien,0,0,0,0,0
2013,U,IIA,De Staten Generaal,10,Nominaal en onvoorzien,-2970,-2970,543,-533,0
2013,V,IIA,De Staten Generaal,10,Nominaal en onvoorzien,-2970,-2970,543,-533,0
2013,O,IIB,Overige Hoge Colleges van Staat,1,Raad van State,2002,2002,2302,2302,2987
2013,U,IIB,Overige Hoge Colleges van Staat,1,Raad van State,57417,57417,60879,59912,58990
2013,V,IIB,Overige Hoge Colleges van Staat,1,Raad van State,57417,57417,60879,59912,59254
2013,O,IIB,Overige Hoge Colleges van Staat,2,Algemene Rekenkamer,1217,1217,1217,1217,1101
2013,U,IIB,Overige Hoge Colleges van Staat,2,Algemene Rekenkamer,28895,28895,29736,29799,29051
2013,V,IIB,Overige Hoge Colleges van Staat,2,Algemene Rekenkamer,28895,28895,29736,29799,29137
2013,O,IIB,Overige Hoge Colleges van Staat,3,De Nationale Ombudsman,1789,1789,2189,2719,2840
2013,U,IIB,Overige Hoge Colleges van Staat,3,De Nationale Ombudsman,15250,15250,16014,16303,16226
2013,V,IIB,Overige Hoge Colleges van Staat,3,De Nationale Ombudsman,15250,15250,16014,16303,15632
2013,O,IIB,Overige Hoge Colleges van Staat,4,Kanselarij der Nederlandse Orden,29,29,29,29,130
2013,U,IIB,Overige Hoge Colleges van Staat,4,Kanselarij der Nederlandse Orden,3424,3424,4983,5049,4845
2013,V,IIB,Overige Hoge Colleges van Staat,4,Kanselarij der Nederlandse Orden,3424,3424,4983,5049,4791
2013,O,IIB,Overige Hoge Colleges van Staat,5,Kabinet van de Gouverneur van de Nederlandse Antillen,0,0,0,0,0
2013,U,IIB,Overige Hoge Colleges van Staat,5,Kabinet van de Gouverneur van de Nederlandse Antillen,0,0,0,0,0
2013,V,IIB,Overige Hoge Colleges van Staat,5,Kabinet van de Gouverneur van de Nederlandse Antillen,0,0,0,0,0
2013,O,IIB,Overige Hoge Colleges van Staat,6,Kabinet van de Gouverneur van Aruba,60,60,60,60,148
2013,U,IIB,Overige Hoge Colleges van Staat,6,Kabinet van de Gouverneur van Aruba,1865,1865,1941,1941,1986
2013,V,IIB,Overige Hoge Colleges van Staat,6,Kabinet van de Gouverneur van Aruba,1865,1865,1941,1941,1985
2013,O,IIB,Overige Hoge Colleges van Staat,7,Kabinet van de Gouverneur van Curaçao,200,200,200,200,148
2013,U,IIB,Overige Hoge Colleges van Staat,7,Kabinet van de Gouverneur van Curaçao,2786,2786,2786,2785,2550
2013,V,IIB,Overige Hoge Colleges van Staat,7,Kabinet van de Gouverneur van Curaçao,2786,2786,2786,2785,2491
2013,O,IIB,Overige Hoge Colleges van Staat,8,Kabinet van de Gouverneur van Sint Maarten,50,50,50,50,289
2013,U,IIB,Overige Hoge Colleges van Staat,8,Kabinet van de Gouverneur van Sint Maarten,2119,2119,2370,2373,2273
2013,V,IIB,Overige Hoge Colleges van Staat,8,Kabinet van de Gouverneur van Sint Maarten,2119,2119,2370,2373,2262
2013,O,IIB,Overige Hoge Colleges van Staat,10,Nominaal en onvoorzien,0,0,0,0,0
2013,U,IIB,Overige Hoge Colleges van Staat,10,Nominaal en onvoorzien,191,191,1177,0,0
2013,V,IIB,Overige Hoge Colleges van Staat,10,Nominaal en onvoorzien,191,191,1177,0,0
2013,O,III,Algemene Zaken,1,Bevorderen eenheid regeringsbeleid,4197,4197,6341,6341,6605
2013,U,III,Algemene Zaken,1,Bevorderen eenheid regeringsbeleid,58687,58687,60224,56503,55780
2013,V,III,Algemene Zaken,1,Bevorderen eenheid regeringsbeleid,58687,58687,60224,56503,55780
2013,O,III,Algemene Zaken,4,Kabinet van de Koning,2402,2402,2410,2631,2572
2013,U,III,Algemene Zaken,4,Kabinet van de Koning,2402,2402,2410,2631,2615
2013,V,III,Algemene Zaken,4,Kabinet van de Koning,2402,2402,2410,2631,2615
2013,O,III,Algemene Zaken,5,Cie v. Toez. I&V,0,0,0,0,39
2013,U,III,Algemene Zaken,5,Cie v. Toez. I&V,1075,1075,1076,1076,885
2013,V,III,Algemene Zaken,5,Cie v. Toez. I&V,1075,1075,1076,1076,885
2013,O,IV,Koninkrijksrelaties,1,Waarborgfunctie,4857,4857,4857,4857,5295
2013,U,IV,Koninkrijksrelaties,1,Waarborgfunctie,63607,63607,63607,63607,63859
2013,V,IV,Koninkrijksrelaties,1,Waarborgfunctie,63607,63607,63607,63607,75317
2013,O,IV,Koninkrijksrelaties,2,Bevord.autonomie Koninkrijkspartners,28013,28013,28013,33169,34705
2013,U,IV,Koninkrijksrelaties,2,Bevord.autonomie Koninkrijkspartners,213131,213131,220887,227492,247217
2013,V,IV,Koninkrijksrelaties,2,Bevord.autonomie Koninkrijkspartners,20149,20149,27905,34510,39846
2013,O,IV,Koninkrijksrelaties,3,Nominaal en onvoorzien,0,0,0,0,0
2013,U,IV,Koninkrijksrelaties,3,Nominaal en onvoorzien,805,805,7105,0,0
2013,V,IV,Koninkrijksrelaties,3,Nominaal en onvoorzien,805,805,7105,0,0
2013,O,IXA,Nationale Schuld,1,Financiering staatsschuld,47126831,46105830,50109831,53388505,51869439
2013,U,IXA,Nationale Schuld,1,Financiering staatsschuld,42055423,42011412,40738571,38348275,46229838
2013,V,IXA,Nationale Schuld,1,Financiering staatsschuld,42055423,42011412,40738571,38348275,46229838
2013,O,IXA,Nationale Schuld,2,Kasbeheer,1929063,1921989,2172574,2196540,3205155
2013,U,IXA,Nationale Schuld,2,Kasbeheer,8867626,8246332,9866395,8165673,2733419
2013,V,IXA,Nationale Schuld,2,Kasbeheer,8867626,8246332,9866395,8165673,2733419
2013,O,IXB,Financiën,1,Belastingen,852125,852125,812125,645125,648199
2013,U,IXB,Financiën,1,Belastingen,3244427,3244427,3404813,3212514,3187000
2013,V,IXB,Financiën,1,Belastingen,3244427,3244427,3404813,3212514,3273683
2013,O,IXB,Financiën,2,Financiele Markten,176748,176748,169525,292403,362270
2013,U,IXB,Financiën,2,Financiele Markten,59938,59938,60881,62866,60866
2013,V,IXB,Financiën,2,Financiele Markten,59938,59938,60881,-6084316,-7291534
2013,O,IXB,Financiën,3,Financ. act. Publiek-Private sector,5201977,5027343,6197126,7121120,9603301
2013,U,IXB,Financiën,3,Financ. act. Publiek-Private sector,1994237,1994237,5715624,6187622,8674220
2013,V,IXB,Financiën,3,Financ. act. Publiek-Private sector,336637,336637,14835024,14756035,13595835
2013,O,IXB,Financiën,4,Internationale Fin. Betrekkingen,64091,32394,32394,34186,34336
2013,U,IXB,Financiën,4,Internationale Fin. Betrekkingen,2323757,2449757,2599757,2599757,2599623
2013,V,IXB,Financiën,4,Internationale Fin. Betrekkingen,308005,434005,434005,-47707765,-49193450
2013,O,IXB,Financiën,5,Exportkrediet- en investeringsverzekering,128550,128550,142550,216250,202684
2013,U,IXB,Financiën,5,Exportkrediet- en investeringsverzekering,113106,113106,113106,113106,103647
2013,V,IXB,Financiën,5,Exportkrediet- en investeringsverzekering,10616386,10616386,10616386,10616386,3590788
2013,O,IXB,Financiën,6,BTW-Compensatiefonds,0,0,0,0,0
2013,U,IXB,Financiën,6,BTW-Compensatiefonds,2895357,2895357,2894127,2660000,2715812
2013,V,IXB,Financiën,6,BTW-Compensatiefonds,2895357,2895357,2894127,2660000,2715812
2013,O,IXB,Financiën,7,Beheer materiele activa,176986,1800,1800,2100,2278
2013,U,IXB,Financiën,7,Beheer materiele activa,84580,300,306,606,334
2013,V,IXB,Financiën,7,Beheer materiele activa,84580,300,306,606,-1550
2013,O,IXB,Financiën,10,Nominaal en onvoorzien,0,0,0,0,0
2013,U,IXB,Financiën,10,Nominaal en onvoorzien,7008,5685,3219,3901,0
2013,V,IXB,Financiën,10,Nominaal en onvoorzien,7008,5685,3219,3901,0
2013,O,IXB,Financiën,21,Centraal Apparaat,27525,27346,33505,31070,36211
2013,U,IXB,Financiën,21,Centraal Apparaat,204189,203021,214776,201324,198490
2013,V,IXB,Financiën,21,Centraal Apparaat,204189,203021,214776,201324,198523
2013,O,J,Deltafonds,1,Investeren in waterveiligheid,87689,87689,89221,86356,92708
2013,U,J,Deltafonds,1,Investeren in waterveiligheid,536712,536712,553129,546941,574101
2013,V,J,Deltafonds,1,Investeren in waterveiligheid,672709,672709,696129,1152846,1053633
2013,O,J,Deltafonds,2,Investeren in zoetwatervoorziening,2500,2500,8061,66,0
2013,U,J,Deltafonds,2,Investeren in zoetwatervoorziening,32117,32117,24285,46929,46278
2013,V,J,Deltafonds,2,Investeren in zoetwatervoorziening,7249,7249,23752,35602,32340
2013,O,J,Deltafonds,3,"Beheer, Onderhoud en vervanging",0,0,0,0,0
2013,U,J,Deltafonds,3,"Beheer, Onderhoud en vervanging",156150,156150,178397,192033,190180
2013,V,J,Deltafonds,3,"Beheer, Onderhoud en vervanging",155124,155124,152681,188324,189429
2013,O,J,Deltafonds,4,Experimenteren cf. art.111 Deltawet,0,0,0,0,0
2013,U,J,Deltafonds,4,Experimenteren cf. art.111 Deltawet,0,0,0,0,0
2013,V,J,Deltafonds,4,Experimenteren cf. art.111 Deltawet,0,0,0,0,0
2013,O,J,Deltafonds,5,Netwerkgebonden kosten en overige uitgaven,0,0,0,0,0
2013,U,J,Deltafonds,5,Netwerkgebonden kosten en overige uitgaven,247581,247581,283760,253873,253827
2013,V,J,Deltafonds,5,Netwerkgebonden kosten en overige uitgaven,247184,247184,252907,253859,253539
2013,O,J,Deltafonds,6,Bijdrage ten laste van begroting Hoofdstuk XII,882371,882371,942289,973525,973745
2013,U,J,Deltafonds,6,Bijdrage ten laste van begroting Hoofdstuk XII,0,0,0,0,0
2013,V,J,Deltafonds,6,Bijdrage ten laste van begroting Hoofdstuk XII,0,0,0,0,0
2013,O,V,Buitenlandse Zaken,1,Internationale rechtsorde en mensenrechten,0,0,0,0,0
2013,U,V,Buitenlandse Zaken,1,Internationale rechtsorde en mensenrechten,114886,114886,111607,109468,106338
2013,V,V,Buitenlandse Zaken,1,Internationale rechtsorde en mensenrechten,99376,99376,112453,127184,116445
2013,O,V,Buitenlandse Zaken,2,Grotere veiligheid en stabiliteit en humanitaire hulp,1167,1167,1167,1167,2057
2013,U,V,Buitenlandse Zaken,2,Grotere veiligheid en stabiliteit en humanitaire hulp,776500,769500,256784,241330,226472
2013,V,V,Buitenlandse Zaken,2,Grotere veiligheid en stabiliteit en humanitaire hulp,679511,672511,245992,235524,200114
2013,O,V,Buitenlandse Zaken,3,Europese samenwerking,685267,685267,685267,573923,592213
2013,U,V,Buitenlandse Zaken,3,Europese samenwerking,7580467,7580467,8055120,7574385,7495364
2013,V,V,Buitenlandse Zaken,3,Europese samenwerking,7412138,7412138,7886791,7418260,7339239
2013,O,V,Buitenlandse Zaken,4,Meer welvaart en minder armoede,57363,57363,0,0,0
2013,U,V,Buitenlandse Zaken,4,Meer welvaart en minder armoede,938979,923979,2300,1000,286
2013,V,V,Buitenlandse Zaken,4,Meer welvaart en minder armoede,764287,749287,0,0,193
2013,O,V,Buitenlandse Zaken,5,Toegenomen menselijke ontplooiing en sociale ontwikkeling,0,0,0,0,0
2013,U,V,Buitenlandse Zaken,5,Toegenomen menselijke ontplooiing en sociale ontwikkeling,1078152,1100152,0,0,0
2013,V,V,Buitenlandse Zaken,5,Toegenomen menselijke ontplooiing en sociale ontwikkeling,331241,353241,0,0,0
2013,O,V,Buitenlandse Zaken,6,Duurzaam water- en milieubeheer,0,0,0,0,0
2013,U,V,Buitenlandse Zaken,6,Duurzaam water- en milieubeheer,397960,397960,0,0,0
2013,V,V,Buitenlandse Zaken,6,Duurzaam water- en milieubeheer,533944,533944,0,0,0
2013,O,V,Buitenlandse Zaken,7,Welzijn en veiligheid van Nederlanders in het buitenland,41300,41300,41300,41300,48264
2013,U,V,Buitenlandse Zaken,7,Welzijn en veiligheid van Nederlanders in het buitenland,24964,24964,15639,17122,16961
2013,V,V,Buitenlandse Zaken,7,Welzijn en veiligheid van Nederlanders in het buitenland,24964,24964,15969,17452,15488
2013,O,V,Buitenlandse Zaken,8,Versterkt cultureel profiel en positieve beeldvorming NL,790,790,790,790,774
2013,U,V,Buitenlandse Zaken,8,Versterkt cultureel profiel en positieve beeldvorming NL,71982,71982,41385,56711,54122
2013,V,V,Buitenlandse Zaken,8,Versterkt cultureel profiel en positieve beeldvorming NL,51065,51065,40509,57464,41425
2013,O,V,Buitenlandse Zaken,9,Geheim,0,0,0,0,0
2013,U,V,Buitenlandse Zaken,9,Geheim,0,0,162,162,163
2013,V,V,Buitenlandse Zaken,9,Geheim,0,0,162,162,-30
2013,O,V,Buitenlandse Zaken,10,Nominaal en onvoorzien,0,0,0,0,0
2013,U,V,Buitenlandse Zaken,10,Nominaal en onvoorzien,33597,33597,18379,3800,3758
2013,V,V,Buitenlandse Zaken,10,Nominaal en onvoorzien,33597,33597,18379,3800,3758
2013,O,V,Buitenlandse Zaken,11,Algemeen,58626,58626,58626,67850,115293
2013,U,V,Buitenlandse Zaken,11,Algemeen,759974,770219,780177,739089,694372
2013,V,V,Buitenlandse Zaken,11,Algemeen,692706,702951,727514,701246,688056
2013,O,VI,Veiligheid en Justitie,12,Rechtspleging en rechtsbijstand,0,0,0,0,0
2013,U,VI,Veiligheid en Justitie,12,Rechtspleging en rechtsbijstand,0,0,0,0,0
2013,V,VI,Veiligheid en Justitie,12,Rechtspleging en rechtsbijstand,0,0,0,0,0
2013,O,VI,Veiligheid en Justitie,13,"Rechtshandhaving, criminaliteits- en terrorismebestrijding",0,0,0,0,0
2013,U,VI,Veiligheid en Justitie,13,"Rechtshandhaving, criminaliteits- en terrorismebestrijding",0,0,0,0,0
2013,V,VI,Veiligheid en Justitie,13,"Rechtshandhaving, criminaliteits- en terrorismebestrijding",0,0,0,0,0
2013,O,VI,Veiligheid en Justitie,14,Jeugd,0,0,0,0,0
2013,U,VI,Veiligheid en Justitie,14,Jeugd,0,0,0,0,0
2013,V,VI,Veiligheid en Justitie,14,Jeugd,0,0,0,0,0
2013,O,VI,Veiligheid en Justitie,21,Contraterrorisme- en nationaal veiligheidsbeleid,0,0,0,0,0
2013,U,VI,Veiligheid en Justitie,21,Contraterrorisme- en nationaal veiligheidsbeleid,0,0,0,0,0
2013,V,VI,Veiligheid en Justitie,21,Contraterrorisme- en nationaal veiligheidsbeleid,0,0,0,0,0
2013,O,VI,Veiligheid en Justitie,23,Veiligheidsregio's en politie,0,0,0,0,0
2013,U,VI,Veiligheid en Justitie,23,Veiligheidsregio's en politie,0,0,0,0,0
2013,V,VI,Veiligheid en Justitie,23,Veiligheidsregio's en politie,0,0,0,0,0
2013,O,VI,Veiligheid en Justitie,25,Veiligheid en bestuur,0,0,0,0,0
2013,U,VI,Veiligheid en Justitie,25,Veiligheid en bestuur,0,0,0,0,0
2013,V,VI,Veiligheid en Justitie,25,Veiligheid en bestuur,0,0,0,0,0
2013,O,VI,Veiligheid en Justitie,29,Inspectie openbare orde en veiligheid,0,0,0,0,0
2013,U,VI,Veiligheid en Justitie,29,Inspectie openbare orde en veiligheid,0,0,0,0,0
2013,V,VI,Veiligheid en Justitie,29,Inspectie openbare orde en veiligheid,0,0,0,0,0
2013,O,VI,Veiligheid en Justitie,31,Nationale Politie,500,500,500,500,269
2013,U,VI,Veiligheid en Justitie,31,Nationale Politie,5220150,5220150,5256456,5259193,5250519
2013,V,VI,Veiligheid en Justitie,31,Nationale Politie,5535250,5535250,5256456,429524,229265
2013,O,VI,Veiligheid en Justitie,32,Rechtspleging en rechtsbijstand,309755,309755,262755,225103,222147
2013,U,VI,Veiligheid en Justitie,32,Rechtspleging en rechtsbijstand,1522621,1522621,1493457,1532601,1544180
2013,V,VI,Veiligheid en Justitie,32,Rechtspleging en rechtsbijstand,1522621,1522621,1540457,1532601,1544910
2013,O,VI,Veiligheid en Justitie,33,Veiligheid en criminaliteitsbestrijding,1046498,1046498,981498,1063750,1086824
2013,U,VI,Veiligheid en Justitie,33,Veiligheid en criminaliteitsbestrijding,768902,768902,760776,758819,775116
2013,V,VI,Veiligheid en Justitie,33,Veiligheid en criminaliteitsbestrijding,768902,768902,760776,758819,786426
2013,O,VI,Veiligheid en Justitie,34,Sanctietoepassing,1663,1663,1663,4990,98054
2013,U,VI,Veiligheid en Justitie,34,Sanctietoepassing,2242335,2242335,2337586,2451552,2536821
2013,V,VI,Veiligheid en Justitie,34,Sanctietoepassing,2242335,2242335,2337586,2451552,2561345
2013,O,VI,Veiligheid en Justitie,35,Jeugd,2800,2800,1487,9037,13082
2013,U,VI,Veiligheid en Justitie,35,Jeugd,804892,804892,816591,842069,840364
2013,V,VI,Veiligheid en Justitie,35,Jeugd,804892,804892,816591,842069,821589
2013,O,VI,Veiligheid en Justitie,36,Contraterrorisme en Nationaal Veiligheidsbeleid,0,0,0,0,212
2013,U,VI,Veiligheid en Justitie,36,Contraterrorisme en Nationaal Veiligheidsbeleid,205242,205242,202301,202800,210768
2013,V,VI,Veiligheid en Justitie,36,Contraterrorisme en Nationaal Veiligheidsbeleid,205242,205242,202301,202800,284113
2013,O,VI,Veiligheid en Justitie,37,Vreemdelingen,0,0,0,0,27466
2013,U,VI,Veiligheid en Justitie,37,Vreemdelingen,0,733200,751425,767400,751429
2013,V,VI,Veiligheid en Justitie,37,Vreemdelingen,0,733200,751425,247400,173932
2013,O,VI,Veiligheid en Justitie,91,Apparaatsuitgaven kerndepartement,868,868,921,7216,17223
2013,U,VI,Veiligheid en Justitie,91,Apparaatsuitgaven kerndepartement,357813,436911,463483,482474,470745
2013,V,VI,Veiligheid en Justitie,91,Apparaatsuitgaven kerndepartement,357813,436911,463483,482474,522949
2013,O,VI,Veiligheid en Justitie,92,Nominaal en onvoorzien,0,0,0,0,0
2013,U,VI,Veiligheid en Justitie,92,Nominaal en onvoorzien,71917,73814,23625,2248,0
2013,V,VI,Veiligheid en Justitie,92,Nominaal en onvoorzien,71917,73814,34670,2248,0
2013,O,VI,Veiligheid en Justitie,93,Geheim,0,0,0,0,17
2013,U,VI,Veiligheid en Justitie,93,Geheim,3057,3057,3057,3057,3317
2013,V,VI,Veiligheid en Justitie,93,Geheim,3057,3057,3057,3057,3317
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,61,Openbaar bestuur en democratie,49465,49465,24465,24686,24816
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,61,Openbaar bestuur en democratie,25102,25102,33452,33089,30373
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,61,Openbaar bestuur en democratie,25102,25102,33452,33089,45581
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,62,Algemene Inlichtingen- en Veiligheidsdienst,8214,8214,8214,8214,7440
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,62,Algemene Inlichtingen- en Veiligheidsdienst,199621,199621,203421,195016,195142
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,62,Algemene Inlichtingen- en Veiligheidsdienst,199621,199621,203421,195016,197486
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,63,Woningmarkt,578445,0,0,0,0
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,63,Woningmarkt,2832443,0,0,0,0
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,63,Woningmarkt,2902887,0,0,0,0
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,64,Woonomgeving en bouw,91,0,0,0,0
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,64,Woonomgeving en bouw,32639,0,0,0,0
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,64,Woonomgeving en bouw,32189,0,0,0,0
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,65,Integratie en maatschappelijke samenhang,27566,0,0,0,0
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,65,Integratie en maatschappelijke samenhang,172387,0,0,0,0
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,65,Integratie en maatschappelijke samenhang,166387,0,0,0,0
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,66,Dienstverlenende en innovatieve overheid,500,500,500,16472,17480
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,66,Dienstverlenende en innovatieve overheid,125848,125848,101394,125618,125526
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,66,Dienstverlenende en innovatieve overheid,125848,125848,101394,125618,102722
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,67,Arbeidszaken overheid,820,820,820,820,1769
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,67,Arbeidszaken overheid,43177,43177,44177,42039,40146
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,67,Arbeidszaken overheid,43177,43177,44177,42039,32136
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,68,Kwaliteit Rijksdienst,250,0,0,0,0
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,68,Kwaliteit Rijksdienst,29380,0,0,0,0
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,68,Kwaliteit Rijksdienst,29380,0,0,0,0
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,69,Uitvoering Rijkshuisvesting,357,0,0,0,0
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,69,Uitvoering Rijkshuisvesting,59207,0,0,0,0
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,69,Uitvoering Rijkshuisvesting,59207,0,0,0,0
